2025-03-23 15:32:51 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.start","size":1,"TranscodeSession":[{"key":"/transcode/sessions/6fcbbe9b-05be-4b8e-ba5c-486730bab7d3","throttled":false,"complete":false,"progress":0.0,"size":0,"speed":0.0,"error":false,"duration":2596032,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:32:56 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/6fcbbe9b-05be-4b8e-ba5c-486730bab7d3","throttled":false,"complete":false,"progress":22.700000762939454,"size":216793088,"speed":121.0,"error":false,"duration":2596032,"remaining":16,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:01 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/6fcbbe9b-05be-4b8e-ba5c-486730bab7d3","throttled":false,"complete":false,"progress":47.20000076293945,"size":450101248,"speed":116.5,"error":false,"duration":2596032,"remaining":11,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:02 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.end","size":1,"TranscodeSession":[{"key":"/transcode/sessions/6fcbbe9b-05be-4b8e-ba5c-486730bab7d3","throttled":false,"complete":false,"progress":50.0,"size":477732976,"speed":14.0,"error":false,"duration":2596032,"remaining":51,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:06 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"activity","size":1,"ActivityNotification":[{"event":"updated","uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","Activity":{"uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","type":"media.generate.intros","cancellable":false,"userID":1,"title":"Detecting intros","subtitle":"The Ark S01","progress":76}}]}}
2025-03-23 15:33:06 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.start","size":1,"TranscodeSession":[{"key":"/transcode/sessions/5aa2b59a-63df-4efa-9df8-42424d123b29","throttled":false,"complete":false,"progress":0.0,"size":0,"speed":0.0,"error":false,"duration":2596064,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:11 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/5aa2b59a-63df-4efa-9df8-42424d123b29","throttled":false,"complete":false,"progress":23.899999618530275,"size":227540992,"speed":123.5,"error":false,"duration":2596064,"remaining":15,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:16 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/5aa2b59a-63df-4efa-9df8-42424d123b29","throttled":false,"complete":false,"progress":48.29999923706055,"size":475791360,"speed":158.5,"error":false,"duration":2596064,"remaining":9,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:16 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.end","size":1,"TranscodeSession":[{"key":"/transcode/sessions/5aa2b59a-63df-4efa-9df8-42424d123b29","throttled":false,"complete":true,"progress":50.0,"size":489789788,"speed":85.80000305175781,"error":false,"duration":2596064,"remaining":11,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:20 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"activity","size":1,"ActivityNotification":[{"event":"updated","uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","Activity":{"uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","type":"media.generate.intros","cancellable":false,"userID":1,"title":"Detecting intros","subtitle":"The Ark S01","progress":78}}]}}
2025-03-23 15:33:20 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.start","size":1,"TranscodeSession":[{"key":"/transcode/sessions/e1dfe367-0a40-4cf8-9074-29c3a6ca4c52","throttled":false,"complete":false,"progress":0.0,"size":0,"speed":0.0,"error":false,"duration":2596544,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:25 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/e1dfe367-0a40-4cf8-9074-29c3a6ca4c52","throttled":false,"complete":false,"progress":24.700000762939454,"size":219414528,"speed":123.19999694824219,"error":false,"duration":2596544,"remaining":15,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:30 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/e1dfe367-0a40-4cf8-9074-29c3a6ca4c52","throttled":false,"complete":false,"progress":49.79999923706055,"size":446169088,"speed":112.5,"error":false,"duration":2596544,"remaining":10,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:30 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.end","size":1,"TranscodeSession":[{"key":"/transcode/sessions/e1dfe367-0a40-4cf8-9074-29c3a6ca4c52","throttled":false,"complete":true,"progress":50.0,"size":447584735,"speed":7.599999904632568,"error":false,"duration":2596544,"remaining":91,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:34 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"activity","size":1,"ActivityNotification":[{"event":"updated","uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","Activity":{"uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","type":"media.generate.intros","cancellable":false,"userID":1,"title":"Detecting intros","subtitle":"The Ark S01","progress":81}}]}}
2025-03-23 15:33:34 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.start","size":1,"TranscodeSession":[{"key":"/transcode/sessions/1c2aa1a6-9442-4e78-b5a3-312aa365e9dc","throttled":false,"complete":false,"progress":0.0,"size":0,"speed":0.0,"error":false,"duration":2596544,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:39 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/1c2aa1a6-9442-4e78-b5a3-312aa365e9dc","throttled":false,"complete":false,"progress":24.200000762939454,"size":235143168,"speed":128.10000610351563,"error":false,"duration":2596544,"remaining":15,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:44 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.update","size":1,"TranscodeSession":[{"key":"/transcode/sessions/1c2aa1a6-9442-4e78-b5a3-312aa365e9dc","throttled":false,"complete":false,"progress":48.20000076293945,"size":464519168,"speed":124.4000015258789,"error":false,"duration":2596544,"remaining":11,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:45 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"transcodeSession.end","size":1,"TranscodeSession":[{"key":"/transcode/sessions/1c2aa1a6-9442-4e78-b5a3-312aa365e9dc","throttled":false,"complete":false,"progress":50.0,"size":480687008,"speed":91.5,"error":false,"duration":2596544,"remaining":12,"context":"static","sourceVideoCodec":"h264","sourceAudioCodec":"eac3","videoDecision":"ignore","audioDecision":"transcode","protocol":"http","container":"flac","audioCodec":"flac","audioChannels":6,"transcodeHwRequested":true,"transcodeHwFullPipeline":false,"offlineTranscode":false}]}}
2025-03-23 15:33:48 - DEBUG   :: Thread-15 (run) : {"NotificationContainer":{"type":"activity","size":1,"ActivityNotification":[{"event":"updated","uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","Activity":{"uuid":"5f64c64e-ec2e-4a23-bf37-6c5ecfd145bc","type":"media.generate.intros","cancellable":false,"userID":1,"title":"Detecting intros","subtitle":"The Ark S01","progress":83}}]}}
